topology,payoff,benefit,beta,mutation,init_c,sim,t,c
rrg,acc,1.005,10,0,0.2,1,99000,0.582
rrg,acc,1.005,10,0,0.2,1,100000,0.582
rrg,acc,1.005,10,0,0.2,1,101000,0.577
rrg,acc,1.005,10,0,0.2,1,102000,0.573
rrg,acc,1.005,10,0,0.2,1,103000,0.557
rrg,acc,1.005,10,0,0.2,1,104000,0.564
rrg,acc,1.005,10,0,0.2,1,105000,0.549
rrg,acc,1.005,10,0,0.2,1,106000,0.564
rrg,acc,1.005,10,0,0.2,1,107000,0.575
rrg,acc,1.005,10,0,0.2,1,108000,0.582
rrg,acc,1.005,10,0,0.2,1,109000,0.596
rrg,acc,1.005,10,0,0.2,1,110000,0.578
rrg,acc,1.005,10,0,0.2,1,111000,0.587
rrg,acc,1.005,10,0,0.2,1,112000,0.6
rrg,acc,1.005,10,0,0.2,1,113000,0.598
rrg,acc,1.005,10,0,0.2,1,114000,0.585
rrg,acc,1.005,10,0,0.2,1,115000,0.583
rrg,acc,1.005,10,0,0.2,1,116000,0.593
rrg,acc,1.005,10,0,0.2,1,117000,0.607
rrg,acc,1.005,10,0,0.2,1,118000,0.602
rrg,acc,1.005,10,0,0.2,1,119000,0.593
rrg,acc,1.005,10,0,0.2,1,120000,0.586
rrg,acc,1.005,10,0,0.2,1,121000,0.592
rrg,acc,1.005,10,0,0.2,1,122000,0.594
rrg,acc,1.005,10,0,0.2,1,123000,0.587
rrg,acc,1.005,10,0,0.2,1,124000,0.581
rrg,acc,1.005,10,0,0.2,1,125000,0.589
rrg,acc,1.005,10,0,0.2,1,126000,0.575
rrg,acc,1.005,10,0,0.2,1,127000,0.58
rrg,acc,1.005,10,0,0.2,1,128000,0.586
rrg,acc,1.005,10,0,0.2,1,129000,0.592
rrg,acc,1.005,10,0,0.2,1,130000,0.594
rrg,acc,1.005,10,0,0.2,1,131000,0.589
rrg,acc,1.005,10,0,0.2,1,132000,0.595
rrg,acc,1.005,10,0,0.2,1,133000,0.595
rrg,acc,1.005,10,0,0.2,1,134000,0.592
rrg,acc,1.005,10,0,0.2,1,135000,0.601
rrg,acc,1.005,10,0,0.2,1,136000,0.598
rrg,acc,1.005,10,0,0.2,1,137000,0.575
rrg,acc,1.005,10,0,0.2,1,138000,0.571
rrg,acc,1.005,10,0,0.2,1,139000,0.585
rrg,acc,1.005,10,0,0.2,1,140000,0.584
rrg,acc,1.005,10,0,0.2,1,141000,0.579
rrg,acc,1.005,10,0,0.2,1,142000,0.594
rrg,acc,1.005,10,0,0.2,1,143000,0.595
rrg,acc,1.005,10,0,0.2,1,144000,0.594
rrg,acc,1.005,10,0,0.2,1,145000,0.608
rrg,acc,1.005,10,0,0.2,1,146000,0.589
rrg,acc,1.005,10,0,0.2,1,147000,0.574
rrg,acc,1.005,10,0,0.2,1,148000,0.563
rrg,acc,1.005,10,0,0.2,1,149000,0.56
rrg,acc,1.005,10,0,0.2,1,150000,0.579
rrg,acc,1.005,10,0,0.2,1,151000,0.569
rrg,acc,1.005,10,0,0.2,1,152000,0.574
rrg,acc,1.005,10,0,0.2,1,153000,0.577
rrg,acc,1.005,10,0,0.2,1,154000,0.558
rrg,acc,1.005,10,0,0.2,1,155000,0.561
rrg,acc,1.005,10,0,0.2,1,156000,0.569
rrg,acc,1.005,10,0,0.2,1,157000,0.57
rrg,acc,1.005,10,0,0.2,1,158000,0.57
rrg,acc,1.005,10,0,0.2,1,159000,0.559
rrg,acc,1.005,10,0,0.2,1,160000,0.556
rrg,acc,1.005,10,0,0.2,1,161000,0.574
rrg,acc,1.005,10,0,0.2,1,162000,0.583
rrg,acc,1.005,10,0,0.2,1,163000,0.581
rrg,acc,1.005,10,0,0.2,1,164000,0.599
rrg,acc,1.005,10,0,0.2,1,165000,0.6
rrg,acc,1.005,10,0,0.2,1,166000,0.592
rrg,acc,1.005,10,0,0.2,1,167000,0.597
rrg,acc,1.005,10,0,0.2,1,168000,0.596
rrg,acc,1.005,10,0,0.2,1,169000,0.582
rrg,acc,1.005,10,0,0.2,1,170000,0.569
rrg,acc,1.005,10,0,0.2,1,171000,0.568
